rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Matt Pais,False,Metromix.com,Rotten,2/5,2010-02-11,"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series."
m/0814255,Roger Ebert,True,Chicago Sun-Times,Fresh,3/4,2010-02-11,Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.
m/0814255,Rich Cline,False,Shadows on the Wall,Fresh,3/5,2010-02-11,The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.
m/0814255,Fionnuala Halligan,False,Screen International,Fresh,,2010-02-11,"Of all the players, Uma Thurman channels the Bride to deliver a Medusa the children won't easily forget when it comes to bedtime."
m/0814255,Matthew Turner,False,ViewLondon,Fresh,3/5,2010-02-11,"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work."
m/0814255,Peter Debruge,True,Variety,Fresh,,2010-02-11,"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour."
m/0814255,Diva Velez,False,TheDivaReview.com,Rotten,2.5/5,2010-02-12,The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.
m/0814255,Christopher Smith,False,Bangor Daily News (Maine),Rotten,C,2010-02-12,"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours."
m/0814255,Brian Tallerico,False,Movie Retriever,Rotten,,2010-02-12,"Young viewers probably will be entertained but even they are likely to realize that this could have and should have been better, especially by the time they're old enough to drive."
m/0814255,Walter Chaw,False,Film Freak Central,Rotten,1/4,2010-02-12,It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.
m/0814255,Nick Starkey,False,Premiere Magazine,Rotten,1/4,2010-02-12,Whew boy.
m/0814255,Jenna Busch,False,Newsarama,Rotten,5.5/10,2010-02-12,My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids)
m/0814255,Kurt Loder,False,MTV,Rotten,1/5,2010-02-12,Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.
m/0814255,David Frese,False,Kansas City Star,Rotten,2/4,2010-02-12,"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat."
m/0814255,Amy Biancolli,True,Houston Chronicle,Fresh,3/4,2010-02-12,Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.
m/0814255,Rick Groen,True,Globe and Mail,Rotten,2/4,2010-02-12,"Dutifully Potteresque it begins, and dutifully Potteresque it ends."
m/0814255,Adam Markovitz,True,Entertainment Weekly,Rotten,C+,2010-02-12,"Has all the CGI sorcery of a Harry Potter pic, but none of the magic."
m/0814255,Pete Hammond,False,Boxoffice Magazine,Rotten,2.5/5,2010-02-12,Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.
m/0814255,Tom Long,True,Detroit News,Rotten,D+,2010-02-12,"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake."
m/0814255,Carrie R. Wheadon,False,Common Sense Media,Rotten,2/5,2010-02-12,Too scary for younger fans of the popular book.
m/0814255,Andrea Chase,False,Killer Movie Reviews,Fresh,3/5,2010-02-12,The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor
m/0814255,Daniel M. Kimmel,False,North Shore Movies,Fresh,3.5/5,2010-02-12,"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better."
m/0814255,Thomas Leupp,False,Hollywood.com,Rotten,2/5,2010-02-12,"Sorry Mr. Jackson, but Harry Potter you ain't."
m/0814255,Brian Orndorf,False,BrianOrndorf.com,Rotten,C,2010-02-12,"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic."
m/0814255,Steven D. Greydanus,False,Decent Films Guide,Fresh,B-,2010-02-12,Harry Potter meets Clash of the Titans … The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.
m/0814255,Willie Waffle,False,WaffleMovies.com,Rotten,1.5/4,2010-02-12,"While winning the award for longest movie title, it is a film that only goes through the motions."
m/0814255,Sonny Bunch,False,Washington Times,Fresh,2.5/4,2010-02-12,Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.
m/0814255,Drew McWeeny,False,HitFix,Fresh,,2010-02-12,"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently."
m/0814255,Marshall Fine,False,Hollywood & Fine,Rotten,,2010-02-12,It's not awful. It's just not particularly inspired. Something tells me this movie won't be inspiring a sequel anytime soon.
m/0814255,Jim Judy,False,Screen It!,Fresh,,2010-02-12,Parental Content Review
m/0814255,Michael O'Sullivan,True,Washington Post,Rotten,2/4,2010-02-12,"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs."
m/0814255,Lou Lumenick,True,New York Post,Rotten,2/4,2010-02-12,"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects."
m/0814255,Rafer Guzman,True,Newsday,Rotten,,2010-02-12,"Likable as Percy may be, it's not lightning he's stolen."
m/0814255,Tom Maurstad,True,Dallas Morning News,Fresh,3/5,2010-02-12,This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.
m/0814255,Frank Swietek,False,One Guy's Opinion,Rotten,C,2010-02-12,"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable."
m/0814255,Sandra Hall,True,Sydney Morning Herald,Rotten,3/5,2010-02-12,All you have at the end of it is an enervating feeling of deja vu.
m/0814255,Carrie Rickey,True,Philadelphia Inquirer,Fresh,2.5/4,2010-02-12,"Like its stars, the film is genial good company."
m/0814255,Helen O'Hara,False,Empire Magazine,Fresh,3/5,2010-02-12,It's apparent that Potter may at last have a worthy successor.
m/0814255,Linda Barnard,True,Toronto Star,Rotten,2.5/4,2010-02-12,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans."
m/0814255,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3/4,2010-02-12,"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo."
m/0814255,Sara Michelle Fetters,False,MovieFreak.com,Fresh,2.5/4,2010-02-12,"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking."
m/0814255,,False,National Post,Rotten,2.5/4,2010-02-12,
m/0814255,S.T. VanAirsdale,False,Movieline,Fresh,6.5/10,2010-02-12,Lerman has a presence even with a mouth full of bad dialogue.
m/0814255,Tony Medley,False,tonymedley.com,Rotten,3/10,2010-02-12,This film is replete with plot holes.
m/0814255,Peter Bradshaw,True,Guardian,Rotten,2/5,2010-02-12,Some moments of inspired silliness save this escapist adventure from complete dullness.
m/0814255,Marc Savlov,False,Austin Chronicle,Rotten,1.5/5,2010-02-12,"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever."
m/0814255,David Nusair,False,Reel Film Reviews,Fresh,3/4,2010-02-13,...an agreeable fantasy adventure that should leave fans of the genre satisfied.
m/0814255,Jen Yamato,False,Movies.com,Rotten,2.5/5,2010-02-13,"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter."
m/0814255,Michelle Alexandria,False,Eclipse Magazine,Fresh,B-,2010-02-13,"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!"
m/0814255,Rubin Safaya,False,Cinemalogue,Rotten,C-,2010-02-13,"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods..."
m/0814255,Fred Topel,False,Syfy Wire,Fresh,,2010-02-14,"It would be an easy slam review. But if you like big pretty toy commercials, it's plenty of fun."
m/0814255,Giles Hardie,True,Sydney Morning Herald,Fresh,3/5,2010-02-14,"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults."
m/0814255,Todd Gilchrist,False,H Magazine,Rotten,,2010-02-16,"there's not one single thing in it that will appeal to a person who has ever seen a mythological origin story before, much less any other sort of adventure movie."
m/0814255,Jackie K. Cooper,False,jackiekcooper.com,Rotten,4/10,2010-02-16,So trite and ludicrous it is no threat to the Harry Potter franchise
m/0814255,Robin Clifford,False,Reeling Reviews,Rotten,C+,2010-02-16,...an attempt to replicate the phenomenon that is Harry Potter.
m/0814255,A.O. Scott,True,At the Movies,Fresh,,2010-02-16,I thought it was mischievous and witty and amusing and I was just sort of drawn into it.
m/0814255,Christopher Tookey,False,Daily Mail (UK),Rotten,1/5,2010-02-16,"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic."
m/0814255,Grant Lauchlan,False,Daily Record (UK),Fresh,4/5,2010-02-16,"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive."
m/0814255,Graham Young,False,Birmingham Post,Fresh,4/5,2010-02-16,"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers."
m/0814255,Mark Pfeiffer,False,Reel Times: Reflections on Cinema,Rotten,C+,2010-02-16,Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.
m/0814255,Sam Bathe,False,Fan The Fire,Fresh,3/5,2010-02-16,"Chris Columbus was a safe choice behind the lens, and he doesn't throw up any surprises. Columbus brings a measured approach that works on the whole, delivering the expected mix of set-ups, set-pieces and edge of your seat showdowns."
m/0814255,Susan Granger,False,SSG Syndicate,Fresh,7/10,2010-02-16,"An imaginative, if simplistic, visit to classical Greek mythology, an archetypal quest by a lad with paternal issues."
m/0814255,,True,Time Out,Rotten,2/5,2010-02-16,"It's not enough to compensate for the computer-game-style plotting, which is largely based on us picking up narrative nuggets that mechanically slot into place later on."
m/0814255,Kate Muir,True,Times (UK),Fresh,3/5,2010-02-16,"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood."
m/0814255,Tim Robey,True,Daily Telegraph (UK),Rotten,1/5,2010-02-16,A slab of market research in search of an actual movie.
m/0814255,Philip French,False,Observer (UK),Fresh,,2010-02-16,"The tone is not always certain, but the special effects are as spectacular as and the mythological underpinning more compelling than anything in the Harry Potter series."
m/0814255,Lara Martin,False,Digital Spy,Fresh,4/5,2010-02-16,Percy Jackson manages to make Greek mythology both fun and exciting and is sure to appeal to its key demographic.
m/0814255,Charles Gant,False,Heat Magazine,Fresh,3/5,2010-02-16,"Not bad, but JK Rowling can rest easy."
m/0814255,Elliott Noble,False,Sky Cinema,Fresh,3/5,2010-02-16,There's plenty of larks to be had from a fast-moving fantasy that doesn't take its mythology too seriously and employs actors who don't look like teenage rabbits in headlights.
m/0814255,Neil Smith,False,Total Film,Fresh,3/5,2010-02-16,"While you suspect it's really just a big Clash Of The Titans spoiler, there's enough action in Jackson to make it succeed on its own terms. Lerman's a likeable lead, though it's the game supporting cast that keeps you watching."
m/0814255,Trevor Johnston,False,Radio Times,Rotten,2/5,2010-02-16,"It's evidently Potter-ish, but unashamedly aimed at younger viewers - which makes the emphasis on the junior hero's fighting skills and a clearly misguided Las Vegas casino sequence all the more dismaying."
m/0814255,David Edwards,False,Daily Mirror (UK),Rotten,,2010-02-16,"While the Hogwarts saga may be getting long in the tooth, at least it has decent characters and a sense of humour. This has neither."
m/0814255,Alex Zane,False,The Sun (UK),Fresh,3/5,2010-02-16,"It is great to see Greek Mythology taking centre stage, even if people must say ""no way"", ""yes way"" when faced with a fire-breathing hydra."
m/0814255,Nigel Andrews,True,Financial Times,Rotten,2/5,2010-02-16,Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.
m/0814255,Anthony Quinn,True,Independent (UK),Rotten,1/5,2010-02-16,"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul."
m/0814255,Allan Hunter,False,Daily Express (UK),Rotten,2/5,2010-02-16,"Very American, very crass and very underwhelming."
m/0814255,Anna Smith,False,Metro (UK),Rotten,2/5,2010-02-16,"The story is told in bland, episodic fashion with no sense of drama or threat."
m/0814255,Derek Malcolm,True,London Evening Standard,Rotten,1/5,2010-02-16,This ineffably wooden Chris Columbus adaptation of author Rick Riordan's best-seller for young teens has a screenplay that defies description.
m/0814255,Robbie Collin,False,News of the World,Fresh,4/5,2010-02-16,"It's fantastic fun, it knows its Greek mythology, and it's a very promising start to a franchise. More of the same, please."
m/0814255,Kevin A. Ranson,False,MovieCrypt.com,Fresh,3/4,2010-02-17,Remember the first time you saw Harry Potter on the big screen? This is more like the third time you saw him but with bigger effects and Greek mythology replacing the occult.
m/0814255,Robert Roten,False,Laramie Movie Scope,Fresh,,2010-02-18,"An awful lot of acting talent goes to waste in this film, but there is barely enough here to marginally satisfy the younger set."
m/0814255,Amy Nicholson,True,I.E. Weekly,Rotten,C,2010-02-18,The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues
m/0814255,Kelly Vance,False,East Bay Express,Fresh,,2010-02-18,Grand prize goes to Uma Thurman as snake-headed Medusa. It's also a pleasure to see Steve Coogan in hell.
m/0814255,Andy Klein,False,Christian Science Monitor,Fresh,,2010-02-18,"The whole thing is piffle, but it moves fast enough to stay entertaining."
m/0814255,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Fresh,3/4,2010-02-19,"A fun, effects-filled, escapist adventure, with several clever notions: Medusa sells garden statuary as a cover, and the Parthenon in Nashville is home to a hydra."
m/0814255,Michael Smith,False,Tulsa World,Rotten,2/4,2010-02-19,"A safe, bland, test-marketed product made for tween mass consumption. Like most films arriving with ampersands and colons in the title, it's a bore."
m/0814255,Cynthia Fuchs,False,PopMatters,Rotten,,2010-02-19,"It looks like the characters of color in Percy Jackson have been paired off, a remarkable choice in a movie that is, in essence, about the glories of half-breeds."
m/0814255,Jayne Nelson,False,SFX Magazine,Fresh,3.5/5,2010-02-19,"It's all jolly good fun, rattling along at a perfect pace with enough action setpieces and spectacle to keep both youngsters and adults happy."
m/0814255,Mark R. Leeper,False,rec.arts.movies.reviews,Fresh,7/10,2010-02-24,What surprised me is that I had some affection for an action adventure film the way I would have in the days of the Ray Harryhausen's best films.
m/0814255,Brian Gibson,False,"Vue Weekly (Edmonton, Alberta)",Rotten,,2010-03-03,"Another attempted launch of a teen-aimed franchise, but this show-boat is rowing through the motions. Seen-that, been-there fantasy-epic stuff with dialogue more wooden and hollow than the Trojan Horse."
m/0814255,Todd Hertz,False,Christianity Today,Fresh,2.5/4,2010-03-05,"While this flick may not have Harry Potter's complex world and multiple layers, it also doesn't have the angst and darkness. It replaces them with one thing in bulk: Fun."
m/0814255,Jim Lane,False,Sacramento News & Review,Fresh,3/5,2010-03-14,... a sprightly Harry Potter clone and an eye-candy-coated intro to Greek mythology.
m/0814255,Joseph Proimakis,False,Movies for the Masses,Rotten,2.5/5,2010-03-26,click to read full review
m/0814255,Michael Dequina,False,TheMovieReport.com,Rotten,2.5/4,2010-05-16,"Of all the would-be Potter projects that have hit the screen over the years, this is one of more polished and enjoyable ones."
m/0814255,James Plath,False,Movie Metropolis,Fresh,7/10,2010-06-30,"A great family film, with just the right measures of action, mythological allusions, humor, and adventure."
m/0814255,Wesley Lovell,False,Cinema Sight,Fresh,3/4,2010-07-04,"Not a perfect film, but the movie does have a certain passion that a lot of other franchise attempts have lacked. If you like Greek mythology and are looking for an antidote to Clash of the Titans, this may be what you're looking for."
m/0814255,Brett Michel,False,Boston Phoenix,Rotten,2.5/4,2010-07-06,Mildly diverting.
m/0814255,Chris Bumbray,False,JoBlo's Movie Network,Rotten,5.5/10,2010-07-06,"Just another mediocre fantasy flick, but if you enjoyed the books, I'm sure you'll enjoy the film."
m/0814255,Peter Canavese,False,Groucho Reviews,Fresh,2.5/4,2010-07-06,"An enjoyable PG-rated family adventure in its own right, but Columbus' film can't live up to the Potter gold standard, and it strays enough from Riordan's source material to make its tween readership blow a gasket every few minutes. [Blu-ray]"
m/0814255,Matthew Pejkovic,False,Matt's Movie Reviews,Fresh,3/5,2010-07-17,Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.
m/0814255,Jeffrey Chen,False,Window to the Movies,Fresh,6/10,2010-08-04,Manages to pay its respects to the Greek myths and actually convey them as fun.
m/0814255,Dave White,False,Movies.com,Rotten,2/5,2011-04-04,It kind of just builds up to a lot of Not Much.
m/0814255,Joshua Starnes,False,ComingSoon.net,Rotten,4/10,2011-04-25,"Percy Jackson is simply uninspired in every single meaning of the word. It's probably the crassest, most obviously derivative work of this sort since Eragon."
m/0814255,Greg Maki,False,"Star-Democrat (Easton, MD)",Rotten,D+,2011-11-05,The premise of Percy Jackson & the Olympians: The Lightning Thief holds great potential potential the film never realizes.
m/0814255,Kevin Carr,False,7M Pictures,Fresh,3.5/5,2012-07-31,It provides a great adventure movie for the family audience.
m/0814255,David Keyes,False,Cinemaphile.org,Rotten,2/4,2015-01-09,The plot uses the presence of the Greek gods as an indistinct outline to influence teenagers who are more interested in the prestige and glamor of their connection than the responsibility that comes with it.
m/0814255,Sarah Knight Adamson,False,Sarah's Backstage Pass,Fresh,3/4,2020-01-13,"As a former middle school teacher of gifted literature, I value all fairly well-made films for children and parents and this one is in that league."
m/0814255,Felicia Feaster,False,Charleston City Paper,Fresh,,2020-01-23,The Lightning Thief is an admirable kid's fantasy.
m/0814255,Leigh Paatsch,False,Herald Sun (Australia),Rotten,2.5/5,2020-06-26,"OK, but only just."
m/0814255,Richard Propes,False,TheIndependentCritic.com,Rotten,2/4,2020-09-19,There's nothing resembling a spark in this film anywhere.
m/0878835,Justin Chang,True,Variety,Fresh,,2010-01-25,"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews."
m/0878835,Kirk Honeycutt,True,Hollywood Reporter,Rotten,,2010-01-25,"A muted, almost Rohmer-like moral tale that doesn't quite dive deeply enough into its several characters."
m/0878835,Tim Grierson,False,Screen International,Fresh,,2010-01-25,"Keener, Peet and Hall all shine as women plagued with self-doubt who respond to those insecurities in strikingly different ways."
m/0878835,Andrew O'Hehir,True,Salon.com,Fresh,,2010-01-28,"An edgy, somber, beautifully written Manhattan fable of guilt, shame, infidelity, death and real estate."
m/0878835,Erik Childress,False,eFilmCritic.com,Fresh,3/4,2010-01-31,"Holofcener always gives us more to chew on than originally meets the eye in her films and she writes female characters with an intelligence, sensitivity and realism that blows the Sex and the City foursome away any day of the week."
m/0878835,Richard Mowe,False,Boxoffice Magazine,Fresh,3/5,2010-03-24,"The tone is low-key but very funny. Yet, at the same time, the film also manages to have a sardonic edge."
m/0878835,Brent Simon,False,Shared Darkness,Fresh,4/5,2010-04-02,"Of a piece with Nicole Holofcener's three other films -- talky, urbane ensemble flicks that elicit quiet but deeply sincere smiles and laughs, and just as often showcase hushed moments of pinprick vulnerability."
m/0878835,Ethan Alter,False,Film Journal International,Fresh,,2010-04-21,"A witty and observant comedy of manners, Please Give is another understated gem from writer-director Nicole Holofcener."
m/0878835,Harvey S. Karten,False,Compuserve,Fresh,B+,2010-04-22,Solid ensemble work with an especially good Catherine Keener.
m/0878835,Stephen Whitty,True,Newark Star-Ledger,Fresh,3/4,2010-04-23,"It's a tricky kind of social satire, its possibly cloying self-absorption cut only by some winningly awkward characters."
m/0878835,Emanuel Levy,False,EmanuelLevy.Com,Fresh,B+,2010-04-26,"The fourth teaming of gifted indie filmmaker Holofcener and talented actress Keener is a timely, sharply observed, femme-driven serio-comedy about postmodern capitalistic lifestyles with all their joys, guilts, complexities and contradictions."
m/0878835,Andrew Schenker,False,Slant Magazine,Rotten,1/4,2010-04-26,"Ah, the guilt of the privileged."
